registryId,chassisNumber,model,make,batteryType,batteryVendor,hub,state,registrationNumber,odometerKm,inductedOn
BLRSS0428,SESEAG03202300490,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,8757,2024-03-04
FBLSS003B,MD9ESLM1225873232,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,11521,2024-04-05
BLRSS0431,SESEAG03202300497,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,3583,2024-05-06
FBLSS0112,MD9ESLM1225873418,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,13414,2024-06-07
BLRSS0407,SESEAG03202300402,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,UNDER_REPAIR,,15595,2024-07-08
FBLSS0086,MD9ESLM1225873101,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,12753,2024-08-09
BLRSS0419,SESEAG03202300455,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,QC_PENDING,,12736,2024-09-10
FBLSS0129,MD9ESLM1225873560,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,8703,2024-10-11
BLRSS0436,SESEAG03202300508,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,4137,2024-11-12
FBLSS0074,MD9ESLM1225872944,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,ACCIDENT,,15030,2024-03-13
BLRSS0412,SESEAG03202300428,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,9114,2024-04-14
FBLSS0141,MD9ESLM1225873677,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,9355,2024-05-15
BLRSS0437,SESEAG03202300600,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,12518,2024-01-13
FBLSS0142,MD9ESLM1225874000,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,17544,2025-04-26
BLRSS0438,SESEAG03202300601,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,12008,2025-02-23
BLRSS0439,SESEAG03202300602,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,20475,2024-05-08
FBLSS0143,MD9ESLM1225874001,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,5182,2025-04-04
FBLSS0144,MD9ESLM1225874002,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,16674,2024-02-25
FBLSS0145,MD9ESLM1225874003,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,HSR Layout,DEPLOYED,,541,2024-05-27
FBLSS0146,MD9ESLM1225874004,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,8079,2024-06-02
FBLSS0147,MD9ESLM1225874005,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,4070,2025-09-10
BLRSS0440,SESEAG03202300603,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,7201,2024-10-15
BLRSS0441,SESEAG03202300604,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,18700,2024-06-19
BLRSS0442,SESEAG03202300605,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,14294,2024-05-12
FBLSS0148,MD9ESLM1225874006,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,10978,2025-02-23
FBLSS0149,MD9ESLM1225874007,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,9549,2025-03-20
BLRSS0443,SESEAG03202300606,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,6203,2025-07-14
FBLSS0150,MD9ESLM1225874008,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,1405,2024-08-10
BLRSS0444,SESEAG03202300607,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,4008,2024-10-21
FBLSS0151,MD9ESLM1225874009,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,17316,2025-04-28
FBLSS0152,MD9ESLM1225874010,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,12829,2024-05-06
FBLSS0153,MD9ESLM1225874011,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,6686,2024-11-16
BLRSS0445,SESEAG03202300608,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,9201,2025-08-24
BLRSS0446,SESEAG03202300609,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,10783,2024-11-06
BLRSS0447,SESEAG03202300610,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,20613,2024-04-27
FBLSS0154,MD9ESLM1225874012,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,11795,2024-08-08
FBLSS0155,MD9ESLM1225874013,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,10435,2024-04-13
BLRSS0448,SESEAG03202300611,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,20071,2025-06-26
FBLSS0156,MD9ESLM1225874014,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,19921,2024-05-14
BLRSS0449,SESEAG03202300612,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,833,2025-10-16
FBLSS0157,MD9ESLM1225874015,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,20454,2025-06-01
FBLSS0158,MD9ESLM1225874016,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,6469,2024-05-06
FBLSS0159,MD9ESLM1225874017,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,19867,2025-08-25
FBLSS0160,MD9ESLM1225874018,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,8711,2025-03-05
FBLSS0161,MD9ESLM1225874019,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,19151,2025-01-02
BLRSS0450,SESEAG03202300613,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,20470,2024-08-07
BLRSS0451,SESEAG03202300614,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,4547,2024-02-14
FBLSS0162,MD9ESLM1225874020,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,9078,2024-09-21
BLRSS0452,SESEAG03202300615,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,10344,2025-07-15
BLRSS0453,SESEAG03202300616,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,1601,2025-05-18
BLRSS0454,SESEAG03202300617,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,18285,2024-02-22
BLRSS0455,SESEAG03202300618,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,16898,2024-05-20
BLRSS0456,SESEAG03202300619,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,5888,2024-05-01
FBLSS0163,MD9ESLM1225874021,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,10011,2024-07-26
FBLSS0164,MD9ESLM1225874022,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,8039,2024-11-15
BLRSS0457,SESEAG03202300620,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,16814,2025-12-01
BLRSS0458,SESEAG03202300621,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,1456,2024-12-06
FBLSS0165,MD9ESLM1225874023,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,HSR Layout,DEPLOYED,,14186,2024-11-16
BLRSS0459,SESEAG03202300622,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,19011,2024-01-03
FBLSS0166,MD9ESLM1225874024,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,11270,2025-05-22
FBLSS0167,MD9ESLM1225874025,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,14374,2024-12-01
BLRSS0460,SESEAG03202300623,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,19219,2025-11-10
BLRSS0461,SESEAG03202300624,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,12520,2024-12-03
BLRSS0462,SESEAG03202300625,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,9163,2024-01-19
BLRSS0463,SESEAG03202300626,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,10571,2024-09-07
BLRSS0464,SESEAG03202300627,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,14949,2025-07-09
FBLSS0168,MD9ESLM1225874026,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,6419,2024-05-06
